no;x;y
11;475533.0;7425905.0
10;475573.0;7425891.0
9;475610.0;7425878.0
6;475681.0;7425851.0
5;475681.0;7425851.0
12;475487.0;7425918.0
8;475631.0;7425871.0
3;475729.0;7425885.0
7;475645.0;7425865.0
1;475785.0;7425929.0
2;475747.0;7425895.0
4;475692.0;7425860.0
13;475403.0;7425947.0
0;475785.0;7425929.0
31;474805.0;7426214.0
81;474387.0;7428993.0
46;474483.0;7426690.0
37;474675.0;7426409.0
64;474446.0;7427888.0
14;475385.0;7425953.0
98;474349.0;7429582.0
83;474380.0;7429062.0
95;474356.0;7429494.0
110;474330.0;7429955.0
94;474361.0;7429456.0
128;474366.0;7429555.0
15;475385.0;7425953.0
21;475141.0;7426040.0
26;474973.0;7426096.0
47;474461.0;7426722.0
53;474392.0;7426933.0
76;474395.0;7428804.0
121;474259.0;7430400.0
109;474330.0;7429955.0
148;474311.0;7429353.0
97;474354.0;7429554.0
127;474354.0;7429554.0
60;474453.0;7427494.0
70;474413.0;7428522.0
142;474323.0;7429133.0
143;474321.0;7429172.0
150;474304.0;7429478.0
19;475235.0;7426009.0
157;474619.0;7428611.0
107;474334.0;7429889.0
84;474379.0;7429097.0
89;474367.0;7429277.0
105;474335.0;7429826.0
17;475348.0;7425966.0
22;475084.0;7426060.0
154;474403.0;7428713.0
73;474403.0;7428713.0
77;474395.0;7428835.0
78;474392.0;7428876.0
74;474400.0;7428744.0
56;474417.0;7427151.0
27;474935.0;7426110.0
29;474861.0;7426153.0
33;474765.0;7426272.0
149;474306.0;7429441.0
57;474426.0;7427211.0
62;474460.0;7427685.0
145;474318.0;7429228.0
68;474420.0;7428304.0
113;474310.0;7430397.0
135;474387.0;7429377.0
87;474371.0;7429240.0
93;474359.0;7429419.0
72;474407.0;7428631.0
155;474430.0;7428716.0
90;474367.0;7429313.0
45;474503.0;7426660.0
58;474436.0;7427312.0
65;474438.0;7427991.0
119;474478.0;7430833.0
114;474322.0;7430499.0
120;474546.0;7430907.0
156;474523.0;7428664.0
48;474441.0;7426752.0
23;475062.0;7426068.0
25;475022.0;7426083.0
24;475022.0;7426083.0
158;474700.0;7428567.0
141;474376.0;7429134.0
85;474376.0;7429134.0
124;474241.0;7430402.0
96;474353.0;7429525.0
92;474361.0;7429377.0
55;474413.0;7427123.0
41;474587.0;7426534.0
139;474387.0;7429272.0
147;474313.0;7429319.0
20;475188.0;7426028.0
67;474424.0;7428207.0
66;474430.0;7428102.0
144;474319.0;7429200.0
86;474374.0;7429198.0
134;474361.0;7429377.0
103;474345.0;7429754.0
132;474256.0;7429480.0
108;474332.0;7429923.0
34;474743.0;7426307.0
16;475369.0;7425958.0
36;474698.0;7426375.0
30;474830.0;7426181.0
18;475328.0;7425974.0
59;474444.0;7427405.0
61;474461.0;7427594.0
63;474453.0;7427788.0
44;474523.0;7426629.0
117;474418.0;7430743.0
118;474418.0;7430743.0
116;474376.0;7430666.0
115;474344.0;7430584.0
71;474407.0;7428631.0
79;474391.0;7428917.0
99;474347.0;7429620.0
50;474417.0;7426794.0
138;474368.0;7429270.0
88;474368.0;7429270.0
131;474297.0;7429471.0
130;474297.0;7429471.0
146;474316.0;7429261.0
111;474325.0;7429993.0
69;474417.0;7428416.0
112;474309.0;7430319.0
80;474389.0;7428956.0
52;474395.0;7426887.0
104;474337.0;7429790.0
38;474655.0;7426441.0
28;474896.0;7426129.0
42;474568.0;7426565.0
49;474441.0;7426752.0
51;474399.0;7426839.0
106;474336.0;7429854.0
122;474249.0;7430401.0
123;474249.0;7430401.0
102;474341.0;7429720.0
32;474785.0;7426243.0
43;474546.0;7426596.0
35;474720.0;7426343.0
54;474404.0;7427023.0
40;474608.0;7426501.0
100;474347.0;7429653.0
82;474382.0;7429028.0
75;474398.0;7428774.0
101;474343.0;7429688.0
39;474630.0;7426477.0
91;474365.0;7429343.0
160;475785.0;7425929.0
129;474366.0;7429555.0
153;474321.0;7429172.0
151;474304.0;7429478.0
137;474367.0;7429277.0
136;474387.0;7429377.0
159;474700.0;7428567.0
125;474241.0;7430402.0
140;474387.0;7429272.0
133;474256.0;7429480.0
152;474316.0;7429261.0
126;474343.0;7429688.0
