1,1,1,0,34500,Teste_CH1,Alim 1
2,1,1,479,34500,Teste_CH2,Alim 2
3,1,1,1217,34500,Teste_CH3,Alim 3
4,2,2,5708,13800,Teste_CH4,Alim 4
5,3,2,6711,13800,Teste_CH5,Alim 5
6,3,2,7907,13800,Teste_CH6,Alim 6
7,4,3,9555,13800,Teste_CH7,Alim 7
8,4,3,10142,13800,Teste_CH8,Alim 8
9,5,3,12076,13800,Teste_CH9,Alim 9
10,6,4,14215,13800,Teste_CH10,Alim 10
11,6,4,15714,13800,Teste_CH11,Alim 11
12,7,4,18114,13800,Teste_CH12,Alim 12
13,7,4,19608,13800,Teste_CH13,Alim 13
14,8,5,21839,13800,Teste_CH14,Alim 14
15,8,5,24689,13800,Teste_CH15,Alim 15
