1,1,1,0,34500,Teste_CH1,Alim 1
2,2,2,479,34500,Teste_CH2,Alim 2
3,3,3,1217,34500,Teste_CH3,Alim 3
4,4,4,5708,13800,Teste_CH4,Alim 4
5,5,5,6711,13800,Teste_CH5,Alim 5
6,6,6,7907,13800,Teste_CH6,Alim 6
7,7,7,9555,13800,Teste_CH7,Alim 7
8,8,8,10142,13800,Teste_CH8,Alim 8
9,9,9,12076,13800,Teste_CH9,Alim 9
10,10,10,14215,13800,Teste_CH10,Alim 10
11,11,11,15714,13800,Teste_CH11,Alim 11
12,12,12,18114,13800,Teste_CH12,Alim 12
13,13,13,19608,13800,Teste_CH13,Alim 13
14,14,14,21839,13800,Teste_CH14,Alim 14
15,15,15,24689,13800,Teste_CH15,Alim 15
