instante,iteracoes,id_aliment_itxmax,numeroAlimentadores,menor_V,id_menorV,quedaMaxima,id_maxQueda,maiorCarregamentoCorrente,id_maxCar,carregamentoRede,maiorCarregaphA,maiorCarregaphB,maiorCarregaphC,PerdasRes,desba,id_maxDesbalanco,desbalancoCorrenteAlim,id_maxDesbalancoCorrenteAlim
1,2,0,1,0.9797,0,0.7029,0,12.1470,0,2266.057400,657.54,950.97,657.54, 9.044835, 0.775221,0,13.40,0
,2,0,1,0.9754,0,1.1422,0,24.1992,0,5646.062616,1913.92,1818.22,1913.92, 52.798090, 0.779568,0,1.63,0
2,2,0,1,0.9797,0,0.7029,0,12.1470,0,2266.057400,657.54,950.97,657.54, 9.044835, 0.775221,0,13.40,0
,2,0,1,0.9752,0,1.1546,0,24.4636,0,5707.759995,1934.83,1838.09,1934.83, 53.958298, 0.779831,0,1.63,0
3,2,0,1,0.9797,0,0.7029,0,12.1470,0,2266.057400,657.54,950.97,657.54, 9.044835, 0.775221,0,13.40,0
,2,0,1,0.9751,0,1.1693,0,24.7748,0,5780.367277,1959.45,1861.47,1959.45, 55.339815, 0.780139,0,1.63,0
4,2,0,1,0.9797,0,0.7029,0,12.1470,0,2266.057400,657.54,950.97,657.54, 9.044835, 0.775221,0,13.40,0
,2,0,1,0.9749,0,1.1855,0,25.1183,0,5860.498629,1986.61,1887.28,1986.61, 56.884765, 0.780480,0,1.63,0
5,2,0,1,0.9797,0,0.7025,0,12.1490,0,2269.759800,659.32,951.13,659.32, 9.067520, 0.775155,0,13.31,0
,2,0,1,0.9749,0,1.1875,0,25.1602,0,5870.279921,1989.93,1890.43,1989.93, 57.063706, 0.780525,0,1.63,0
6,2,0,1,0.9797,0,0.7025,0,12.1490,0,2269.759800,659.32,951.13,659.32, 9.067520, 0.775155,0,13.31,0
,2,0,1,0.9748,0,1.1935,0,25.2876,0,5900.000000,2000.00,1900.00,2000.00, 57.642974, 0.780652,0,1.63,0
7,2,0,1,0.9797,0,0.7025,0,12.1490,0,2269.759800,659.32,951.13,659.32, 9.067520, 0.775155,0,13.31,0
,2,0,1,0.9749,0,1.1930,0,25.2763,0,5897.366575,1999.11,1899.15,1999.11, 57.591528, 0.780640,0,1.63,0
8,2,0,1,0.9797,0,0.7025,0,12.1490,0,2269.759800,659.32,951.13,659.32, 9.067520, 0.775155,0,13.31,0
,2,0,1,0.9749,0,1.1881,0,25.1731,0,5873.289549,1990.95,1891.40,1990.95, 57.122233, 0.780538,0,1.63,0
